2023-11-30 09:52:56 status half-installed sed:loong64 4.9-1+loong64
2023-11-30 09:52:56 status unpacked sed:loong64 4.9-1+loong64
2023-11-30 09:52:56 install util-linux:loong64 <none> 2.38.1-5+loong64
2023-11-30 09:52:56 status half-installed util-linux:loong64 2.38.1-5+loong64
2023-11-30 09:52:57 status unpacked util-linux:loong64 2.38.1-5+loong64
2023-11-30 09:52:57 install util-linux-extra:loong64 <none> 2.38.1-5+loong64
2023-11-30 09:52:57 status half-installed util-linux-extra:loong64 2.38.1-5+loong64
2023-11-30 09:52:57 status unpacked util-linux-extra:loong64 2.38.1-5+loong64
2023-11-30 09:52:59 startup archives unpack
2023-11-30 09:52:59 upgrade apt:loong64 2.7.7 2.7.7
2023-11-30 09:52:59 status half-installed apt:loong64 2.7.7
2023-11-30 09:53:01 status unpacked apt:loong64 2.7.7
2023-11-30 09:53:01 upgrade base-files:loong64 13+b1 13+b1
2023-11-30 09:53:01 status half-installed base-files:loong64 13+b1
2023-11-30 09:53:01 status unpacked base-files:loong64 13+b1
2023-11-30 09:53:02 upgrade base-passwd:loong64 3.6.3 3.6.3
2023-11-30 09:53:02 status half-installed base-passwd:loong64 3.6.3
2023-11-30 09:53:02 status unpacked base-passwd:loong64 3.6.3
2023-11-30 09:53:02 upgrade bash:loong64 5.2.21-2 5.2.21-2
2023-11-30 09:53:02 status half-installed bash:loong64 5.2.21-2
2023-11-30 09:53:03 status unpacked bash:loong64 5.2.21-2
2023-11-30 09:53:03 upgrade coreutils:loong64 9.4-2 9.4-2
2023-11-30 09:53:03 status half-installed coreutils:loong64 9.4-2
2023-11-30 09:53:05 status unpacked coreutils:loong64 9.4-2
2023-11-30 09:53:05 upgrade dash:loong64 0.5.12-6 0.5.12-6
2023-11-30 09:53:05 status half-installed dash:loong64 0.5.12-6
2023-11-30 09:53:05 status unpacked dash:loong64 0.5.12-6
2023-11-30 09:53:06 upgrade debconf:all 1.5.82 1.5.82
2023-11-30 09:53:06 status half-installed debconf:all 1.5.82
2023-11-30 09:53:06 status unpacked debconf:all 1.5.82
2023-11-30 09:53:06 upgrade debian-archive-keyring:all 2023.4 2023.4
2023-11-30 09:53:06 status half-installed debian-archive-keyring:all 2023.4
2023-11-30 09:53:12 status unpacked debian-archive-keyring:all 2023.4
2023-11-30 09:53:12 upgrade debianutils:loong64 5.14 5.14
2023-11-30 09:53:12 status half-installed debianutils:loong64 5.14
2023-11-30 09:53:12 status unpacked debianutils:loong64 5.14
2023-11-30 09:53:12 upgrade diffutils:loong64 1:3.10-1 1:3.10-1
2023-11-30 09:53:12 status half-installed diffutils:loong64 1:3.10-1
2023-11-30 09:53:13 status unpacked diffutils:loong64 1:3.10-1
